I0,I1,I2,I3,I4,I5
-0.582474,-0.550708,0.007326,29.304502,-0.173382,-0.127012
-0.581400,-0.550708,0.007326,0.000000,-0.168498,-0.122715
-0.580314,-0.550708,0.007326,0.000000,-0.163614,-0.118370
-0.579216,-0.550708,-0.021978,-29.304502,-0.163614,-0.113978
-0.578106,-0.550708,-0.007326,14.652251,-0.158731,-0.109537
-0.576984,-0.550708,0.007326,14.652251,-0.153846,-0.105049
-0.575850,-0.550708,0.021978,14.652251,-0.153846,-0.100512
-0.574704,-0.550708,0.021978,0.000000,-0.148962,-0.095927
-0.573546,-0.550708,0.007326,-14.652251,-0.144078,-0.091295
-0.572376,-0.550708,0.036631,29.304502,-0.139194,-0.086614
-0.571194,-0.550708,0.021978,-14.652251,-0.139194,-0.081886
-0.570000,-0.550324,0.021978,0.000000,-0.134310,-0.078662
-0.568794,-0.550324,0.036631,14.652251,-0.129426,-0.073818
-0.567576,-0.550324,0.036631,0.000000,-0.129426,-0.068945
-0.566346,-0.550324,0.036631,0.000000,-0.124542,-0.064024
-0.565104,-0.549941,0.051283,14.652251,-0.119658,-0.060609
-0.563850,-0.549941,0.065933,14.650344,-0.114774,-0.055573
-0.562584,-0.549941,0.080585,14.652251,-0.114774,-0.050508
-0.561306,-0.549557,0.065933,-14.652251,-0.109890,-0.046952
-0.560016,-0.549557,0.095238,29.304502,-0.105006,-0.041772
-0.558714,-0.549557,0.095238,0.000000,-0.100122,-0.036564
-0.557400,-0.549557,0.095238,0.000000,-0.100122,-0.031307
-0.556074,-0.549173,0.109890,14.652251,-0.100122,-0.027555
-0.554736,-0.548790,0.139194,29.304502,-0.095238,-0.023736
-0.553386,-0.548790,0.139194,0.000000,-0.095238,-0.018316
-0.552024,-0.548407,0.168499,29.304502,-0.090354,-0.014420
-0.550650,-0.548023,0.197802,29.302595,-0.090354,-0.010457
-0.549264,-0.547640,0.212454,14.652251,-0.090354,-0.006446
-0.547866,-0.547256,0.256411,43.956753,-0.085470,-0.002387
