current,speed,power
-3.4716796875,-75.18878173828125,8.745062828063965
-3.7841796875,-72.3613510131836,7.368907928466797
-3.480224609375,-72.78022766113281,8.745062828063965
-4.005126953125,-72.57078552246094,8.280244827270508
-3.739013671875,-72.57078552246094,8.922033309936523
-3.948974609375,-78.33037567138672,8.457392692565918
-4.04052734375,-80.42476654052734,7.552396774291992
-4.046630859375,-78.74925231933594,8.902480125427246
-3.81103515625,-79.79644775390625,7.563661575317383
-3.92578125,-76.75957489013672,9.740158081054688
-3.843994140625,-76.75957489013672,9.465271949768066
-3.87939453125,-76.75957489013672,7.552396774291992
-4.033203125,-76.55014038085938,7.913504600524902
-3.79638671875,-79.16812896728516,8.457392692565918
-3.76220703125,-78.95869445800781,7.907636642456055
-3.71337890625,-80.00588989257812,9.09876823425293
-3.743896484375,-83.77580261230469,8.182507514953613
-4.014892578125,-82.41444396972656,10.385265350341797
-3.714599609375,-83.35691833496094,8.46983814239502
-3.939208984375,-83.77580261230469,9.567301750183105
-3.837890625,-80.42476654052734,9.556905746459961
-3.92578125,-83.1474838256836,8.36575984954834
-3.59130859375,-89.4306640625,8.640645027160645
-3.656005859375,-92.04866027832031,8.090888977050781
-3.421630859375,-90.79202270507812,10.015028953552246
-3.636474609375,-92.99114227294922,8.555293083190918
-3.497314453125,-90.16370391845703,10.09209156036377
-3.472900390625,-90.16370391845703,8.448058128356934
-3.61328125,-91.6297836303711,8.444948196411133
-3.248291015625,-92.04866027832031,9.092132568359375
-3.52783203125,-96.65632629394531,7.541131973266602
-3.57177734375,-94.9808120727539,9.726059913635254
-3.115234375,-96.02800750732422,8.090888977050781
-3.50830078125,-95.19025421142578,9.468708992004395
-3.37158203125,-95.19025421142578,8.36575984954834
-3.690185546875,-97.38936614990234,9.923410415649414
-4.080810546875,-95.19025421142578,10.534463882446289
-4.056396484375,-97.59880828857422,8.745062828063965
-3.790283203125,-97.8082504272461,11.523301124572754
-3.756103515625,-103.04423522949219,13.381674766540527
-4.124755859375,-101.99703979492188,10.458124160766602
-4.036865234375,-100.84512329101562,11.92225170135498
-3.8330078125,-103.67255401611328,10.64113998413086
-3.85498046875,-106.08110809326172,10.931289672851562
-4.132080078125,-108.69910430908203,11.18619155883789
-4.0966796875,-110.2698974609375,9.556905746459961
-3.685302734375,-112.46900939941406,12.362262725830078
-4.168701171875,-111.42181396484375,10.824155807495117
-4.375,-111.10765838623047,13.915898323059082
-4.25537109375,-109.85102081298828,11.643575668334961
-3.895263671875,-110.06045532226562,12.654315948486328
-3.857421875,-113.09732818603516,12.672192573547363
-4.25048828125,-115.71532440185547,11.57267951965332
-4.071044921875,-119.69467163085938,11.348868370056152
-3.89404296875,-121.6843490600586,11.265583038330078
-3.670654296875,-126.29202270507812,10.26030158996582
-3.577880859375,-126.08258056640625,14.423762321472168
-3.787841796875,-126.29202270507812,11.269610404968262
-3.90869140625,-126.29202270507812,13.733119010925293
-3.875732421875,-127.33921813964844,10.915656089782715
-3.924560546875,-131.94688415527344,12.73681926727295
-3.8037109375,-132.67991638183594,11.361037254333496
-3.36181640625,-134.35543823242188,11.261556625366211
-3.209228515625,-133.7271270751953,12.545042037963867
-3.32763671875,-137.7064666748047,11.53976058959961
-3.8427734375,-135.92623901367188,12.362262725830078
-3.773193359375,-139.5914306640625,13.093381881713867
-3.717041015625,-137.91590881347656,11.257529258728027
-3.873291015625,-139.9055938720703,12.609623908996582
-3.758544921875,-140.324462890625,10.98354434967041
-3.76708984375,-142.10470581054688,13.733119010925293
-3.887939453125,-144.93212890625,11.89685344696045
-3.64501953125,-144.93212890625,12.170838356018066
-3.75732421875,-143.57078552246094,12.270879745483398
-3.57177734375,-147.96900939941406,11.257529258728027
-3.505859375,-147.7595672607422,11.356980323791504
-3.33984375,-148.8067626953125,13.175485610961914
-3.687744140625,-153.62387084960938,10.625861167907715
-3.582763671875,-152.3672332763672,11.614564895629883
-3.45458984375,-148.17845153808594,12.527283668518066
-3.44970703125,-148.59732055664062,11.25350284576416
-3.4521484375,-153.2050018310547,12.270879745483398
-3.482666015625,-153.4144287109375,10.999296188354492
-3.33984375,-149.95867919921875,10.99142074584961
-3.35693359375,-150.79644775390625,10.888298034667969
-3.475341796875,-151.9483642578125,10.252897262573242
-3.84765625,-149.74923706054688,12.236071586608887
-3.92578125,-152.1577911376953,11.631142616271973
-3.9111328125,-150.3775634765625,14.469298362731934
-3.98681640625,-153.9380340576172,12.618562698364258
-3.96484375,-153.4144287109375,13.69453239440918
-3.85498046875,-155.19467163085938,13.684884071350098
-3.809814453125,-152.9955596923828,14.772843360900879
-3.64013671875,-154.56634521484375,12.362262725830078
-3.6328125,-156.76547241210938,16.440561294555664
-3.616943359375,-157.8126678466797,12.837331771850586
-3.389892578125,-158.75514221191406,15.067097663879395
-3.126220703125,-161.37313842773438,13.713825225830078
-3.23974609375,-162.00144958496094,13.421063423156738
-3.189697265625,-160.22122192382812,14.78837776184082
